MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr,TAXI_OUT,Is_delayed
11,1,5,AA,N585UW,MIA,4,184,1089,420,424,604,47,33,59,W,24,29,30,Fair / Windy,30,26,24,0
11,1,5,AS,N526AS,SEA,-6,380,2422,430,424,630,47,33,59,W,24,29,30,Fair / Windy,30,26,19,0
11,1,5,AS,N557AS,PDX,-3,375,2454,445,442,640,47,33,59,W,24,29,30,Fair / Windy,30,26,20,0
11,1,5,B6,N584JB,TPA,-2,180,1005,447,445,627,47,33,59,W,24,29,30,Fair / Windy,30,26,13,0
11,1,5,B6,N273JB,BTV,6,75,266,455,461,530,47,33,59,W,24,29,30,Fair / Windy,30,26,11,0
11,1,5,B6,N324JB,ORD,-4,163,740,467,463,570,47,33,59,W,24,29,30,Fair / Windy,30,26,13,0
11,1,5,AA,N116AN,LAX,-6,376,2475,480,474,676,50,33,52,W,21,30,30,Fair / Windy,30,26,20,0
11,1,5,AA,N844NN,ORD,-3,166,740,479,476,585,50,33,52,W,21,30,30,Fair / Windy,30,26,19,0
11,1,5,DL,N774DE,IAH,-3,253,1417,480,477,673,50,33,52,W,21,30,30,Fair / Windy,30,26,23,0
11,1,5,DL,N920DU,DEN,-2,271,1626,480,478,631,50,33,52,W,21,30,30,Fair / Windy,30,26,20,0
11,1,5,B6,N661JB,RSW,29,193,1074,449,478,642,50,33,52,W,21,30,30,Fair / Windy,30,26,10,1
11,1,5,B6,N983JT,LAX,-1,376,2475,480,479,676,50,33,52,W,21,30,30,Fair / Windy,30,26,12,0
11,1,5,MQ,N853AE,ORF,-6,88,290,485,479,573,50,33,52,W,21,30,30,Fair / Windy,30,26,25,0
11,1,5,9E,N923XJ,JAX,-5,156,828,485,480,641,50,33,52,W,21,30,30,Fair / Windy,46,19,24,0
11,1,5,B6,N535JB,MCO,0,176,944,480,480,656,50,33,52,W,21,30,30,Fair / Windy,46,19,10,0
11,1,5,DL,N322US,MIA,-5,181,1089,485,480,666,50,33,52,W,21,30,30,Fair / Windy,46,19,36,0
11,1,5,DL,N328NB,MSY,-4,189,1182,485,481,614,50,33,52,W,21,30,30,Fair / Windy,46,19,11,0
11,1,5,AA,N181UW,CLT,-4,136,541,485,481,621,50,33,52,W,21,30,30,Fair / Windy,46,19,21,0
11,1,5,DL,N338DN,MCO,-3,170,944,485,482,655,50,33,52,W,21,30,30,Fair / Windy,46,19,15,0
11,1,5,9E,N933XJ,BNA,-2,159,765,485,483,584,50,33,52,W,21,30,30,Fair / Windy,46,19,24,0
11,1,5,9E,N349PQ,RDU,-2,111,427,485,483,596,50,33,52,W,21,30,30,Fair / Windy,46,19,12,0
11,1,5,DL,N712TW,SFO,-7,400,2586,490,483,710,50,33,52,W,21,30,30,Fair / Windy,46,19,28,0
11,1,5,B6,N789JB,FLL,4,187,1069,480,484,667,50,33,52,W,21,30,30,Fair / Windy,46,19,25,0
11,1,5,DL,N850DN,SJU,-1,234,1598,485,484,719,50,33,52,W,21,30,30,Fair / Windy,46,19,29,0
11,1,5,DL,N706TW,SAN,0,359,2446,485,485,664,50,33,52,W,21,30,30,Fair / Windy,46,19,25,0
11,1,5,DL,N900DU,SJC,-6,388,2569,495,489,703,50,33,52,W,21,30,30,Fair / Windy,46,19,26,0
11,1,5,DL,N930AT,TPA,7,173,1005,485,492,658,50,33,52,W,21,30,30,Fair / Windy,46,19,21,0
11,1,5,B6,N284JB,RDU,6,104,427,488,494,592,50,33,52,W,21,30,30,Fair / Windy,46,19,21,0
11,1,5,B6,N249JB,ROC,71,84,264,423,494,507,50,33,52,W,21,30,30,Fair / Windy,46,19,27,1
11,1,5,B6,N618JB,SLC,-7,321,1990,505,498,706,50,33,52,W,21,30,30,Fair / Windy,46,19,26,0
11,1,5,AA,N833NN,MIA,8,194,1089,490,498,684,50,33,52,W,21,30,30,Fair / Windy,46,19,25,0
11,1,5,DL,N353NB,FLL,14,174,1069,485,499,659,50,33,52,W,21,30,30,Fair / Windy,46,19,26,0
11,1,5,AA,N197AN,DFW,0,239,1391,509,509,688,50,33,52,W,21,30,30,Fair / Windy,46,19,16,0
11,1,5,B6,N943JT,SAN,1,376,2446,510,511,706,50,33,52,W,21,30,30,Fair / Windy,46,19,22,0
11,1,5,B6,N986JB,LAX,-4,379,2475,515,511,714,50,33,52,W,21,30,30,Fair / Windy,46,19,25,0
11,1,5,DL,N692DL,ATL,2,146,760,510,512,656,50,33,52,W,21,30,30,Fair / Windy,46,19,16,0
11,1,5,DL,N1603,LAX,-3,370,2475,515,512,705,50,33,52,W,21,30,30,Fair / Windy,46,19,16,0
11,1,5,B6,N258JB,BOS,88,73,187,427,515,500,50,33,52,W,21,30,30,Fair / Windy,46,19,22,1
11,1,5,B6,N589JB,BUF,37,84,301,480,517,564,50,33,52,W,21,30,30,Fair / Windy,46,19,15,1
11,1,5,B6,N945JT,SEA,-7,382,2422,525,518,727,50,33,52,W,21,30,30,Fair / Windy,46,19,15,0
11,1,5,DL,N954AT,CHS,-2,141,636,523,521,664,50,33,52,W,21,30,30,Fair / Windy,46,19,17,0
11,1,5,B6,N793JB,MSY,123,204,1182,400,523,544,50,33,52,W,21,30,30,Fair / Windy,46,19,13,1
11,1,5,9E,N331PQ,IAD,-5,84,228,540,535,624,52,32,47,WNW,25,32,30.02,Fair / Windy,46,19,18,0
11,1,5,9E,N313PQ,BUF,51,95,301,485,536,580,52,32,47,WNW,25,32,30.02,Fair / Windy,46,19,22,1
11,1,5,B6,N566JB,JAX,94,153,828,451,545,604,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,19,1
11,1,5,B6,N623JB,SJU,-5,232,1598,550,545,782,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,19,0
11,1,5,DL,N365NW,AUS,-8,240,1521,555,547,735,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,14,0
11,1,5,DL,N709TW,LAS,38,340,2248,510,548,670,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,23,1
11,1,5,9E,N912XJ,SAV,0,141,718,550,550,691,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,15,0
11,1,5,AA,N109NN,LAX,-4,374,2475,555,551,749,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,18,0
11,1,5,AS,N549AS,SJC,-6,390,2569,560,554,770,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,23,0
11,1,5,B6,N571JB,MCO,-5,176,944,560,555,736,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,17,0
11,1,5,9E,N913XJ,DTW,-7,127,509,562,555,689,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,18,0
11,1,5,B6,N587JB,AUS,54,254,1521,502,556,696,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,10,1
11,1,5,B6,N969JT,SFO,-3,397,2586,562,559,779,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,15,0
11,1,5,9E,N8928A,PWM,-10,73,273,575,565,648,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,22,0
11,1,5,B6,N516JB,SRQ,0,184,1041,568,568,752,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,14,0
11,1,5,AS,N285AK,SFO,-1,395,2586,570,569,785,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,35,0
11,1,5,9E,N8918B,ORF,-5,82,290,575,570,657,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,19,0
11,1,5,AS,N929VA,SEA,2,380,2422,570,572,770,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,28,0
11,1,5,DL,N727TW,SFO,-6,387,2586,580,574,787,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,22,0
11,1,5,YX,N209JQ,CMH,-3,112,483,580,577,692,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,11,0
11,1,5,9E,N678CA,ORD,0,166,740,580,580,686,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,25,0
11,1,5,9E,N695CA,ROC,-1,83,264,585,584,668,52,32,47,WNW,25,32,30.02,Fair / Windy,30,18,18,0
11,1,5,B6,N2002J,FLL,1,188,1069,590,591,778,54,32,43,W,21,33,30.05,Fair / Windy,30,18,18,0
11,1,5,B6,N274JB,BUF,-5,85,301,599,594,684,54,32,43,W,21,33,30.05,Fair / Windy,30,18,18,0
11,1,5,HA,N360HA,HNL,0,660,4983,600,600,900,54,32,43,W,21,33,30.05,Fair / Windy,16,19,15,0
11,1,5,B6,N794JB,PBI,-3,180,1028,605,602,785,54,32,43,W,21,33,30.05,Fair / Windy,16,19,15,0
11,1,5,B6,N964JT,LAX,-4,376,2475,608,604,804,54,32,43,W,21,33,30.05,Fair / Windy,16,19,14,0
11,1,5,DL,N175DN,LAX,21,360,2475,595,616,775,54,32,43,W,21,33,30.05,Fair / Windy,16,19,15,1
11,1,5,DL,N876DN,LAS,-5,343,2248,625,620,788,54,32,43,W,21,33,30.05,Fair / Windy,16,19,17,0
11,1,5,9E,N927EV,BWI,106,86,184,520,626,606,54,32,43,W,21,33,30.05,Fair / Windy,16,19,19,1
11,1,5,MQ,N846AE,CLE,-3,108,425,629,626,737,54,32,43,W,21,33,30.05,Fair / Windy,16,19,20,0
11,1,5,9E,N295PQ,BOS,-3,82,187,630,627,712,54,32,43,W,21,33,30.05,Fair / Windy,16,19,16,0
11,1,5,B6,N989JT,SFO,-7,393,2586,659,652,872,55,31,40,W,20,31,30.05,Fair,16,19,9,0
11,1,5,AA,N117AN,SFO,-6,382,2586,660,654,862,55,31,40,W,20,31,30.05,Fair,16,19,21,0
11,1,5,AA,N953NN,AUS,-4,238,1521,659,655,837,55,31,40,W,20,31,30.05,Fair,16,19,16,0
11,1,5,AA,N108NN,LAX,-3,368,2475,660,657,848,55,31,40,W,20,31,30.05,Fair,16,19,22,0
11,1,5,B6,N590JB,MCO,-4,175,944,665,661,840,55,31,40,W,20,31,30.05,Fair,29,17,16,0
11,1,5,DL,N939AT,MSP,-4,187,1029,668,664,795,55,31,40,W,20,31,30.05,Fair,29,17,16,0
11,1,5,AA,N847NN,MIA,3,183,1089,665,668,848,55,31,40,W,20,31,30.05,Fair,29,17,17,0
11,1,5,DL,N825DN,SLC,1,311,1990,671,672,862,55,31,40,W,20,31,30.05,Fair,29,17,22,0
11,1,5,B6,N520JB,BUR,37,376,2465,637,674,833,55,31,40,W,20,31,30.05,Fair,29,17,16,1
11,1,5,B6,N292JB,BOS,-2,70,187,677,675,747,55,31,40,W,20,31,30.05,Fair,29,17,17,0
11,1,5,DL,N721TW,SFO,0,391,2586,685,685,896,55,31,40,W,20,31,30.05,Fair,29,17,17,0
11,1,5,AS,N413AS,SFO,-4,395,2586,690,686,905,55,31,40,W,20,31,30.05,Fair,29,17,20,0
11,1,5,AS,N553AS,LAX,0,380,2475,690,690,890,55,31,40,W,20,31,30.05,Fair,29,17,22,0
11,1,5,DL,N717JL,CLT,-1,135,541,705,704,840,55,31,40,W,20,31,30.05,Fair,29,17,12,0
11,1,5,DL,N928DU,SEA,9,382,2422,696,705,898,55,31,40,W,20,31,30.05,Fair,29,17,19,0
11,1,5,9E,N138EV,DCA,197,84,213,515,712,599,57,32,39,WNW,21,26,30.06,Fair / Windy,29,17,25,1
11,1,5,B6,N991JT,LAX,-6,373,2475,720,714,913,57,32,39,WNW,21,26,30.06,Fair / Windy,29,17,13,0
11,1,5,DL,N183DN,LAX,11,361,2475,705,716,886,57,32,39,WNW,21,26,30.06,Fair / Windy,29,17,14,0
11,1,5,DL,N819DX,ATL,-1,146,760,719,718,865,57,32,39,WNW,21,26,30.06,Fair / Windy,29,17,18,0
11,1,5,DL,N893DN,SJU,0,233,1598,719,719,952,57,32,39,WNW,21,26,30.06,Fair / Windy,29,17,22,0
11,1,5,9E,N832AY,SYR,60,71,209,660,720,731,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,22,1
11,1,5,9E,N604LR,CLE,-5,108,425,740,735,848,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,15,0
11,1,5,9E,N8694A,BTV,0,79,266,735,735,814,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,23,0
11,1,5,B6,N972JT,FLL,48,188,1069,690,738,878,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,23,1
11,1,5,AA,N101NN,LAX,-9,369,2475,750,741,939,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,13,0
11,1,5,AA,N385AM,MIA,-3,185,1089,749,746,934,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,16,0
11,1,5,YX,N206JQ,BOS,0,79,187,750,750,829,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,19,0
11,1,5,AA,N604AW,CLT,17,120,541,738,755,858,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,21,1
11,1,5,B6,N589JB,ROC,37,77,264,725,762,802,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,15,1
11,1,5,DL,N933AT,DTW,-7,125,509,774,767,899,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,17,0
11,1,5,9E,N918XJ,ORD,-7,165,740,776,769,881,57,32,39,WNW,21,26,30.06,Fair / Windy,20,24,14,0
11,1,5,9E,N331PQ,RDU,-5,106,427,783,778,889,57,30,36,WNW,17,25,30.08,Fair,20,24,12,0
11,1,5,B6,N284JB,BOS,0,69,187,780,780,849,57,30,36,WNW,17,25,30.08,Fair,22,32,15,0
11,1,5,B6,N629JB,IAH,-1,250,1417,786,785,976,57,30,36,WNW,17,25,30.08,Fair,22,32,13,0
11,1,5,AS,N280AK,LAX,-1,380,2475,805,804,1005,57,30,36,WNW,17,25,30.08,Fair,22,32,13,0
11,1,5,AA,N908NN,CLT,-5,126,541,811,806,937,57,30,36,WNW,17,25,30.08,Fair,22,32,16,0
11,1,5,OO,N283SY,BUF,0,87,301,810,810,897,57,30,36,WNW,17,25,30.08,Fair,22,32,14,0
11,1,5,9E,N691CA,IAD,0,79,228,815,815,894,57,30,36,WNW,17,25,30.08,Fair,22,32,18,0
11,1,5,AA,N944NN,PHX,8,333,2153,810,818,963,57,30,36,WNW,17,25,30.08,Fair,22,32,13,0
11,1,5,DL,N991AT,CHS,-5,128,636,825,820,953,57,30,36,WNW,17,25,30.08,Fair,22,32,26,0
11,1,5,DL,N374NW,ATL,-5,145,760,825,820,970,57,30,36,WNW,17,25,30.08,Fair,22,32,22,0
11,1,5,B6,N806JB,FLL,-6,187,1069,826,820,1013,57,30,36,WNW,17,25,30.08,Fair,22,32,21,0
11,1,5,B6,N273JB,PBI,137,181,1028,689,826,870,57,30,36,WNW,17,25,30.08,Fair,22,32,37,1
11,1,5,MQ,N661JA,BNA,-7,158,765,840,833,938,57,31,37,W,17,23,30.1,Fair,22,32,23,0
11,1,5,B6,N554JB,TPA,-3,179,1005,856,853,1035,57,31,37,W,17,23,30.1,Fair,25,36,19,0
11,1,5,AA,N106NN,LAX,-7,373,2475,870,863,1063,57,31,37,W,17,23,30.1,Fair,25,36,18,0
11,1,5,B6,N934JB,LAX,-2,375,2475,869,867,1064,57,31,37,W,17,23,30.1,Fair,25,36,11,0
11,1,5,B6,N658JB,PBI,4,180,1028,869,873,1049,57,31,37,W,17,23,30.1,Fair,25,36,11,0
11,1,5,B6,N584JB,JAX,-10,152,828,884,874,1036,57,31,37,W,17,23,30.1,Fair,25,36,13,0
11,1,5,AA,N913NN,DFW,-3,243,1391,883,880,1066,57,31,37,W,17,23,30.1,Fair,25,36,14,0
11,1,5,MQ,N807AE,PIT,-11,105,340,894,883,999,57,31,37,W,17,23,30.1,Fair,25,36,23,0
11,1,5,9E,N8688C,RIC,-6,95,288,890,884,985,57,31,37,W,17,23,30.1,Fair,25,36,39,0
11,1,5,B6,N559JB,CHS,31,131,636,856,887,987,57,31,37,W,17,23,30.1,Fair,25,36,11,1
11,1,5,9E,N292PQ,PIT,-5,116,340,895,890,1011,57,31,37,W,17,23,30.1,Fair,25,36,17,0
11,1,5,9E,N600LR,SAV,-3,141,718,895,892,1036,55,31,40,W,14,0,30.12,Fair,25,36,19,0
11,1,5,DL,N107DU,IAH,-3,250,1417,895,892,1085,55,31,40,W,14,0,30.12,Fair,25,36,14,0
11,1,5,DL,N906DN,LAS,0,344,2248,895,895,1059,55,31,40,W,14,0,30.12,Fair,25,36,22,0
11,1,5,OO,N262SY,DCA,-3,95,213,900,897,995,55,31,40,W,14,0,30.12,Fair,25,36,16,0
11,1,5,DL,N364NW,MIA,-3,196,1089,910,907,1106,55,31,40,W,14,0,30.12,Fair,25,32,17,0
11,1,5,B6,N566JB,SJU,72,229,1598,839,911,1068,55,31,40,W,14,0,30.12,Fair,25,32,18,1
11,1,5,B6,N324JB,SAV,24,141,718,888,912,1029,55,31,40,W,14,0,30.12,Fair,25,32,15,1
11,1,5,MQ,N849AE,IND,-12,148,665,924,912,1072,55,31,40,W,14,0,30.12,Fair,25,32,13,0
11,1,5,YX,N132HQ,CMH,-10,117,483,929,919,1046,55,31,40,W,14,0,30.12,Fair,25,32,19,0
11,1,5,MQ,N837AE,ORF,-8,92,290,930,922,1022,55,31,40,W,14,0,30.12,Fair,25,32,23,0
11,1,5,B6,N985JT,SFO,-7,404,2586,930,923,1154,55,31,40,W,14,0,30.12,Fair,25,32,16,0
11,1,5,AA,N757AN,MIA,-3,193,1089,930,927,1123,55,31,40,W,14,0,30.12,Fair,25,32,23,0
11,1,5,B6,N706JB,MSY,32,211,1182,900,932,1051,55,31,40,W,14,0,30.12,Fair,25,32,13,1
11,1,5,DL,N353DN,MCO,-3,184,944,935,932,1119,55,31,40,W,14,0,30.12,Fair,25,32,21,0
11,1,5,B6,N292JB,BOS,-3,75,187,936,933,1011,55,31,40,W,14,0,30.12,Fair,25,32,28,0
11,1,5,B6,N661JB,ATL,49,156,760,885,934,1041,55,31,40,W,14,0,30.12,Fair,25,32,13,1
11,1,5,9E,N146PQ,IND,-7,153,665,945,938,1098,55,31,40,W,14,0,30.12,Fair,25,32,18,0
11,1,5,DL,N394DL,LAX,10,375,2475,930,940,1125,55,31,40,W,14,0,30.12,Fair,25,32,26,0
11,1,5,DL,N336NW,FLL,3,192,1069,940,943,1132,55,31,40,W,14,0,30.12,Fair,25,32,26,0
11,1,5,DL,N930AT,TPA,-4,183,1005,950,946,1133,55,31,40,W,14,0,30.12,Fair,25,32,19,0
11,1,5,DL,N846DN,ATL,8,160,760,939,947,1099,55,31,40,W,14,0,30.12,Fair,25,32,13,0
11,1,5,B6,N190JB,BUF,61,84,301,889,950,973,55,31,40,W,14,0,30.12,Fair,25,32,21,1
11,1,5,DL,N702TW,SLC,-7,324,1990,959,952,1163,53,31,43,WNW,15,0,30.14,Fair,25,32,22,0
11,1,5,AA,N979NN,ORD,-2,177,740,960,958,1077,53,31,43,WNW,15,0,30.14,Fair,25,32,17,0
11,1,5,OO,N264SY,ORD,0,173,740,959,959,1072,53,31,43,WNW,15,0,30.14,Fair,25,32,37,0
11,1,5,DL,N328NB,MSY,0,202,1182,960,960,1102,53,31,43,WNW,15,0,30.14,Fair,24,34,10,0
11,1,5,AA,N932NN,LAS,6,354,2248,959,965,1133,53,31,43,WNW,15,0,30.14,Fair,24,34,14,0
11,1,5,B6,N998JE,SJU,44,233,1598,929,973,1162,53,31,43,WNW,15,0,30.14,Fair,24,34,13,1
11,1,5,B6,N944JT,LAX,14,381,2475,960,974,1161,53,31,43,WNW,15,0,30.14,Fair,24,34,19,0
11,1,5,AA,N112AN,SFO,-2,400,2586,980,978,1200,53,31,43,WNW,15,0,30.14,Fair,24,34,20,0
11,1,5,MQ,N817AE,CVG,-13,136,589,995,982,1131,53,31,43,WNW,15,0,30.14,Fair,24,34,17,0
11,1,5,B6,N965JT,MCO,4,176,944,978,982,1154,53,31,43,WNW,15,0,30.14,Fair,24,34,12,0
11,1,5,B6,N228JB,ORD,24,173,740,959,983,1072,53,31,43,WNW,15,0,30.14,Fair,24,34,19,1
11,1,5,B6,N987JT,SAN,-6,365,2446,990,984,1175,53,31,43,WNW,15,0,30.14,Fair,24,34,16,0
11,1,5,MQ,N853AE,RDU,1,111,427,986,987,1097,53,31,43,WNW,15,0,30.14,Fair,24,34,23,0
11,1,5,B6,N715JB,FLL,-2,187,1069,990,988,1177,53,31,43,WNW,15,0,30.14,Fair,24,34,16,0
11,1,5,MQ,N615AE,BWI,36,75,184,959,995,1034,53,31,43,WNW,15,0,30.14,Fair,24,34,13,1
11,1,5,9E,N298PQ,BUF,-4,104,301,1000,996,1104,53,31,43,WNW,15,0,30.14,Fair,24,34,16,0
11,1,5,AA,N812NN,PHX,15,340,2153,985,1000,1145,53,31,43,WNW,15,0,30.14,Fair,24,34,17,0
11,1,5,DL,N713TW,SFO,46,402,2586,956,1002,1178,53,31,43,WNW,15,0,30.14,Fair,24,34,17,1
11,1,5,B6,N589JB,BTV,278,72,266,730,1008,802,53,31,43,WNW,15,0,30.14,Fair,24,34,14,1
11,1,5,B6,N516JB,RSW,-9,192,1074,1019,1010,1211,53,31,43,WNW,15,0,30.14,Fair,24,34,13,0
11,1,5,B6,N568JB,BUR,20,377,2465,990,1010,1187,53,31,43,WNW,15,0,30.14,Fair,24,34,16,1
11,1,5,AS,N215AK,LAX,-4,390,2475,1015,1011,1225,52,30,43,NW,16,0,30.17,Fair,24,34,18,0
11,1,5,AS,N419AS,SFO,-7,405,2586,1020,1013,1245,52,30,43,NW,16,0,30.17,Fair,24,34,24,0
11,1,5,AA,N113AN,LAX,-4,385,2475,1020,1016,1225,52,30,43,NW,16,0,30.17,Fair,24,34,15,0
11,1,5,DL,N696DL,ATL,-1,154,760,1019,1018,1173,52,30,43,NW,16,0,30.17,Fair,24,34,10,0
11,1,5,9E,N295PQ,BOS,6,99,187,1015,1021,1114,52,30,43,NW,16,0,30.17,Fair,26,30,17,0
11,1,5,B6,N187JB,BOS,3,71,187,1020,1023,1091,52,30,43,NW,16,0,30.17,Fair,26,30,19,0
11,1,5,AA,N943AN,CLT,19,131,541,1010,1029,1141,52,30,43,NW,16,0,30.17,Fair,26,30,14,1
11,1,5,9E,N912XJ,DTW,-5,135,509,1045,1040,1180,52,30,43,NW,16,0,30.17,Fair,26,30,19,0
11,1,5,B6,N274JB,RDU,17,105,427,1026,1043,1131,52,30,43,NW,16,0,30.17,Fair,26,30,12,1
11,1,5,B6,N535JB,LGB,-7,372,2465,1055,1048,1247,52,30,43,NW,16,0,30.17,Fair,26,30,15,0
11,1,5,B6,N976JT,LAX,26,374,2475,1040,1066,1234,52,30,43,NW,16,0,30.17,Fair,26,30,19,1
11,1,5,9E,N147PQ,RDU,-2,121,427,1070,1068,1191,52,30,43,NW,16,0,30.17,Fair,26,30,14,0
11,1,5,B6,N948JB,SMF,17,379,2521,1052,1069,1251,52,30,43,NW,16,0,30.17,Fair,26,30,18,1
11,1,5,B6,N993JE,SEA,-8,382,2422,1077,1069,1279,52,30,43,NW,16,0,30.17,Fair,26,30,15,0
11,1,5,DL,N861DN,PHX,-7,334,2153,1079,1072,1233,50,29,44,NW,17,0,30.2,Fair,26,30,18,0
11,1,5,AA,N110AN,SFO,10,400,2586,1065,1075,1285,50,29,44,NW,17,0,30.2,Fair,26,30,17,0
11,1,5,DL,N850DN,PDX,-2,386,2454,1080,1078,1286,50,29,44,NW,17,0,30.2,Fair,26,30,21,0
11,1,5,B6,N794JB,SJC,3,392,2569,1080,1083,1292,50,29,44,NW,17,0,30.2,Fair,34,35,21,0
11,1,5,B6,N587JB,ONT,4,370,2429,1080,1084,1270,50,29,44,NW,17,0,30.2,Fair,34,35,18,0
11,1,5,OO,N283SY,BNA,-4,160,765,1095,1091,1195,50,29,44,NW,17,0,30.2,Fair,34,35,7,0
11,1,5,DL,N119DU,DFW,-4,247,1391,1100,1096,1287,50,29,44,NW,17,0,30.2,Fair,34,35,13,0
